,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
50,76024,"Alford, Steve",Steve Alford,1,1987,1990,HISTADD_steve_alford,1610612742,Dallas,Mavericks,DAL,mavericks,Y,0
51,1628959,"Alkins, Rawle",Rawle Alkins,0,2018,2018,rawle_alkins,0,,,,,Y,1
52,76028,"Allen, Bob",Bob Allen,0,1968,1968,HISTADD_bob_allen,0,,,,,Y,0
53,1628960,"Allen, Grayson",Grayson Allen,0,2018,2019,grayson_allen,0,,,,,Y,1
54,1628386,"Allen, Jarrett",Jarrett Allen,0,2017,2019,jarrett_allen,0,,,,,Y,0
55,706,"Allen, Jerome",Jerome Allen,0,1995,1996,jerome_allen,0,,,,,Y,0
56,1628443,"Allen, Kadeem",Kadeem Allen,0,2017,2019,kadeem_allen,0,,,,,Y,1
57,202730,"Allen, Lavoy",Lavoy Allen,0,2011,2016,lavoy_allen,0,,,,,Y,1
58,76027,"Allen, Lucius",Lucius Allen,0,1969,1978,HISTADD_lucius_allen,0,,,,,Y,0
59,2124,"Allen, Malik",Malik Allen,0,2001,2010,malik_allen,0,,,,,Y,0
60,76025,"Allen, Randy",Randy Allen,0,1988,1989,HISTADD_randy_allen,0,,,,,Y,0
61,951,"Allen, Ray",Ray Allen,0,1996,2013,ray_allen,0,,,,,Y,0
62,2754,"Allen, Tony",Tony Allen,0,2004,2017,tony_allen,0,,,,,Y,0
63,76029,"Allison, Odis",Odis Allison,0,1971,1971,HISTADD_odis_allison,0,,,,,Y,0
64,200984,"Allred, Lance",Lance Allred,0,2007,2007,lance_allred,0,,,,,Y,1
65,76030,"Allums, Darrell",Darrell Allums,0,1980,1980,HISTADD_darrell_allums,0,,,,,Y,0
66,201165,"Almond, Morris",Morris Almond,0,2007,2011,morris_almond,0,,,,,Y,1
67,308,"Alston, Derrick",Derrick Alston,0,1994,1996,derrick_alston,0,,,,,Y,0
68,1747,"Alston, Rafer",Rafer Alston,0,1999,2009,rafer_alston,0,,,,,Y,1
69,1824,"Aluma, Peter",Peter Aluma,0,1998,1998,peter_aluma,0,,,,,Y,0
70,680,"Amaechi, John",John Amaechi,0,1995,2002,john_amaechi,0,,,,,Y,0
71,732,"Amaya, Ashraf",Ashraf Amaya,0,1995,1996,ashraf_amaya,0,,,,,Y,0
72,202329,"Aminu, Al-Farouq",Al-Farouq Aminu,0,2010,2019,al-farouq_aminu,0,,,,,Y,0
73,200811,"Amundson, Lou",Lou Amundson,0,2006,2015,lou_amundson,0,,,,,Y,1
74,76034,"Anderegg, Bob",Bob Anderegg,0,1959,1959,HISTADD_bob_anderegg,0,,,,,Y,0
75,2365,"Andersen, Chris",Chris Andersen,0,2001,2016,chris_andersen,0,,,,,Y,0
76,2431,"Andersen, David",David Andersen,0,2009,2010,david_andersen,0,,,,,Y,0
77,101187,"Anderson, Alan",Alan Anderson,0,2005,2016,alan_anderson,0,,,,,Y,1
78,202079,"Anderson, Antonio",Antonio Anderson,0,2009,2009,antonio_anderson,0,,,,,Y,1
79,76035,"Anderson, Cliff",Cliff Anderson,0,1967,1970,HISTADD_cliff_anderson,0,,,,,Y,0
